 	82
CACHE	81
ROCKETS	44
TASK~FORCE	38
SECRET~OR~SELECTIVE~RELEASE	34
GLOBAL~COUNTER~TERRORISM~FORCES	33
FOUND	32
BOMB~DEFUSER	26
MM	25
USSF	25
ZFEB	25
MINE	23
IMPROVISED~EXPLOSIVE~DEVICE	20
ANTI	19
ATTACK	19
CJSOTF	19
LINE	19
OPERATIONAL~DETACHMENT~ALPHA	19
PATROL	19
GHAZNI	18
VEHICLE	18
GRENADES	17
PIR	17
SEARCH	17
FIRE	16
FIRED	16
KHOWST	16
ROCKET~PROPELLED~GRENADE	16
CACHES	15
NOT~FURTHER~IDENTIFIED	15
COALITION~MILITIA	14
FIREBASE	14
MORTAR	14
ROCKET	14
BOMB	13
FUSES	13
ARMS	12
DAMAGE	12
FORCES	12
UNKNOWN	12
VILLAGE	12
WEAPONS	12
CONVOY	11
MINES	11
EQUIPMENT	10
FINDS	10
INDIVIDUALS	10
MEDICAL~EVACUATION	10
PLACE	10
REMARKS	10
SWB	10
CORDON	9
DESTROYED	9
FOLLOW	9
GRENADE	9
LOCAL~NATIONAL	9
POINT~OF~ORIGIN	9
RUSSIAN	9
SPIN	9
SUSPECTED	9
TAA	9
ASSESSMENT	8
COMPOUND	8
QALAT	8
REMOVED	8
RIFLE	8
ROAD	8
RPGS	8
TEAM	8
VEHICLES	8
WILL	8
DISCOVERED	7
FORWARD~BASE	7
GARDEZ	7
TALIBAN	7
AFGHAN	6
BOLDAK	6
CASUALTIES	6
COMMANDER	6
CONTACT	6
DETAINED	6
DEVICES	6
GECKO	6
KANDAHAR~AIR~FIELD	6
LOCAL	6
LOCATION	6
MADE	6
MOVED	6
MUNITIONS	6
OBJECTIVE	6
PLACED	6
PROVINCE	6
RECOILLESS	6
RECOVERED	6
SECOND	6
SIDE	6
ACMS	5
AMOUNT	5
BLAST	5
DESTRUCTION	5
EXPLOSION	5
FORWARD~OPERATING~BASE	5
FUSE	5
GUN	5
HAND	5
INJURIES	5
ITEMS	5
LED	5
NFI	5
PART~OF~A~TASK~FORCE	5
PRISON	5
RECOVERY	5
ROUND	5
SECURITY	5
